Release Year,Title,Language,Director,Cast,Genre,Plot,Rating
2011,Venghai,Tamil,Hari,"Dhanush, Tamannaah Bhatia, Rajkiran",drama,"Veera Pandi (Raj Kiran) is a powerful and rich man in Pandiapuram in the Sivagangai district. Selvam (Dhanush) is his son, who is a lot more responsible and affectionate towards his family. Rajalingam (Prakash Raj) is the local MLA whose victory is backed by Veera Pandi’s support. But Rajalingam is money minded and pretends to act as a good human while he wants to cheat Veera Pandi and make more money through politics. One day, Selvam gets into a clash with a group of thugs following which Veera Pandi sends Selvam to Trichy to stay with his uncle so that he can have a peaceful life ahead.
In Trichy, Selvam meets Radhika (Tamannaah), his childhood friend and tries to befriend her. But Radhika avoids Selvam pretending that she does not recognize Selvam. Slowly Selvam and Radhika become good friends. Selvam proposes to Radhika, but she remains calm and tells that she needs time to think about it.
Meanwhile, Veera Pandi gets to know about the true identity of Rajalingam and prevents him from involving in corruption which angers Rajalingam and he decides to revenge Veera Pandi by killing Selvam. Rajalingam sends a few thugs to Trichy to kill Selvam. Veera Pandi gets to know about his plans and rushes to Trichy to save Selvam. Radhika becomes fearful upon seeing a group of violent men with Selvam and prefers not to disclose her love.
Rajalingam becomes a minister now and he openly challenges Veera Pandi as he doesn't depend on Veera Pandi’s support hereafter. Selvam gets back to Pandiapuram to safeguard his family from Rajalingam. Radhika gets to know that it was Selvam who helped her uncle by recovering the money invested in a disputed land and she decides to convey her love to Selvam. Radhika requests Selvam to stay away from his family, so that they can lead a peaceful life. Selvam gets furious hearing this and ditches Radhika saying that his family is more important to him than anything else in the world.
Later, Radhika realizes her mistake and apologizes to Selvam following which both of them get reunited. Radhika visits Selvam’s house often. Rajalingam plans to kill Veera Pandi knowing about his train journey based on the information from a stranger. But, Selvam comes to the rescue. Suddenly, Veera Pandi realizes that a poisoned coffee and is rushed to the hospital immediately, where his life was saved. Selvam esquires about the incident and finally gets shocked to know that it was Radhika, who poisoned Veera Pandi's coffee, while also informing Rajalingam about Veera Pandi’s travel plans.
Selvam rushes to Radhika’s home, where Radhika’s mother and grandfather stated that Veera Pandi killed Radhika’s father years ago and they were waiting for a right opportunity to revenge. But, Veera Pandi also comes to Radhika’s home and tells a flashback about the true incident behind the murder of Radhika’s father. He also clarifies that it was not him who killed her father. Now, Radhika’s family feels guilty about their acts. Selvam feels bad that Radhika cheated him in the name of love and leaves her.
The next day, Radhika’s family apologizes to Veera Pandi and informs that they are leaving to another town. Veera Pandi and his wife Thangam (Urvasi) forgives Radhika’s mistake and urges Selvam to accept Radhika which he does. Selvam and Radhika get united. Finally, Selvam and his friends decide to kill Rajalingam which they do successfully.",4.7
2011,Deiva Thirumagal,Tamil,A. L. Vijay,"Vikram, Anushka Shetty, Amala Paul, Baby Sara",drama,"Krishna (Vikram) is intellectually disabled and has the mental ability of a six-year old. He lives a peaceful life in the hill station of Ooty. He is cared for by Victor (Krishna Kumar), the owner of a chocolate factory where Krishna works. One day he excitedly announces to the village that he will become a father. That night, his daughter is born, but his wife Banumathy dies during childbirth. Unable to grasp the concept of death, he simply accepts that his wife has ""gone to God"" and starts life as a father. He names his daughter Nila, and raises her with love and care. She soon grows into a happy young girl (Sara). With the help of Victor and his other mentally challenged friends, Krishna enrolls Nila in school.
Nila adjusts herself to school life, and befriends the correspondent Shwetha Rajendran (Amala Paul), who develops a maternal bond with the girl. But when she sees Nila with Krishna and learns that it is his daughter, she recognises him from a photo her sister had shown of her lover. She realises Nila is her sister's daughter. She then refuses to let Nila stay with her dad as she is scared Krishna might unknowingly do something to his daughter. Soon a scuffle starts between Krishna and Shwetha's fiancé Karthik (Karthik Kumar). It is broken up by the entry of Shwetha's father Rajendran (Sachin Khedekar) who reveals that his other daughter was Banumathy, who became estranged from him by choosing to marry Krishna. He offers to take Krishna and Nila with him and claims that they are part of his family. Victor agrees and sends them with Rajendran.
At a distance from Chennai, Rajendran tricks Krishna into exiting the car, and abandons him. Distraught, Krishna wanders around the city asking passers-by where Nila is. He eventually arrives at a court, where he meets lawyer Vinod (Santhanam) who assumes that he is rich, and promises him that his boss will defend him. He introduces him to his boss/colleague Anuradha ""Anu"" Ragunathan (Anushka Shetty), who is hesitant to take up the case as she believes Krishna to be a lunatic. But soon, Victor arrives and explains Krishna's predicament and moved to tears, Anu agrees to help him.
She files a case against Rajendran, but loses hope when she learns that Rajendran's lawyer is Bashyam (Nassar), a feared senior lawyer who has never lost a case. The case is then heard in the high court, with both party arguing to the custody of the child.
Finally, Bashyam asks Krishna about how he can raise his daughter then to support her financially. Then after a quick show of father-daughter connection and affection, Bashyam withdraws and loses the case voluntarily. Giving Krishna his custody of his daughter, Bashyam leaves the court. After spending some time with his daughter, Krishna then takes her back to Shwetha, so that she will be raised financially stable and that she can become a doctor when she grows up. He returns to work at Victor's chocolate factory.",8.1
2011,Kanchana,Tamil,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Lakshmi Rai",comedy horror,"Raghava (Lawrence Raghavendra) is a typical jobless youth who spends his days playing cricket with friends. He suffers from an irrational fear of ghosts, and retreats to the safety of his home after sunset. His fear is so great he prefers to sleep with his mother (Kovai Sarala) and have her accompany him to the bathroom at night. This creates major annoyance in the household, including Raghava's brother (Sriman), sister-in-law (Devadarshini) and their children.
One day, Raghava and his friends are forced to abandon their usual cricket ground and find a new one; they unwittingly select an abandoned ground which is rumored to be haunted. A bizarre weather change scares them away. Raghava brings home his cricket stumps, which have been stained with blood from a buried corpse in the ground. He focuses on wooing Priya (Lakshmi Rai), the sister of his sister-in-law. In the following days, his mother and sister-in-law are witness to several paranormal phenomena at night; prominently a ghost haunting the hallways. On consulting a priest, they perform 3 rituals to ascertain if the house is haunted:
1. They keep a coconut on a rangoli and pray to Lord Shiva. If the coconut Spins then it's considered that the house is haunted but 50% sure. So they start to do the next ritual thing.
2. They make a cow eat food. If cow runs out of the house without eating the food, Then the house is considered to be haunted but they just want to make sure and start to do the next one but 75% sure.
3. They leave a lamp lit and two drops of blood and leave the house stopping the electricity. Then the ghost of the woman appears and licks the blood, this is seen by the people and you know they were scared and ran away from the house for that night.
Scared senseless, Raghava's mother and sister-in-law hire two priests (Mayilsamy and Manobala) to rid their home of the ghost. The priests, however, are conmen, and escape with their lives. That night, the ghost possesses Raghava, who begins acting increasingly effeminate, alienating himself from Priya and wearing women's clothes and jewelry. His family angrily confronts him, when it is revealed that there are actually three ghosts who have possessed him: a violent woman, a Hindi-speaking Muslim, and a mentally retarded boy. Raghava's family hires an exorcist, who successfully drives the spirit away from Raghava's body. The ghost of the woman, trapped, reveals her story.
Kanchana (Sarathkumar) is a transgender who was disowned by her parents. She is offered shelter by a kind Muslim Akbar Bai(Babu Antony), who has a mentally retarded son. Regretting that she couldn't become a doctor as she intended, she adopts another young transgender, Geetha, and works hard to support her financially. When Geetha leaves to study medicine abroad, Kanchana buys a plot of land where Geetha intended to construct a hospital for the poor. That ground is unlawfully taken by crooked MLA Shankar (Devan). Kanchana angrily confronts the MLA, who cunningly kills her. He also kills Babu Antony and his son. Before she died, she vowed to kill Shankar, his wife, and his henchmen. The bodies are then buried in Kanchana's own ground.
The exorcist sympathizes with her, but remains duty-bound and traps her. After hearing her story, Raghava is touched; risking the danger, he allows Kanchana to possess him once again. Raghava/Kanchana confronts the MLA, and disposes of his henchmen gruesomely. The MLA seeks refuge in a Narasimha temple which Kanchana is forbidden from; but she asks the deity for justice and manages to chase him inside the temple. The three spirits combined kill the MLA. A few years later, Raghava has constructed the hospital for Geetha as per Kanchana's wishes. It is revealed that Kanchana exists symbiotically in Raghava's body to help him out when the need rises.",6.6
2011,Karungali,Tamil,Kalanjiyam,"Kalanjiyam, Anjali, Srinivas, Sunitha Varma, Asmitha",drama,"Kanimozhi[2](Sunitha Verma), a doctor by profession, is drawn to the Ravi because of his life-saving act and ultimately decides to marry him. She overlooks Ravi's brutal past life during when he had murdered many including Sengudi (Asmitha), who was with him right from the childhood days. She loves him but he appears quite satisfied by using her whenever he's driven by his sexual urge.
Believing that she could change him for the better Kani marries him after his return from the prison after a jail term. Ravi looks like a changed man after emerging from jail and tells his wife that the talks he had with some religious persons made him a complete man. However his real self comes out when he hears about Kani’s good-looking patient Amudhanila (Anjali) and her 'inability' to give birth to a child. Ravi's evil mind springs back to life as his urge to have sex with Amudha increases. He gets close to her pretending to be the doctor’s assistant.
Ravi almost succeeds in making Amudha believe that he had the 'solution' to ‘cure’ her problem. How Amudha is saved and how Kani treats her sex-maniac husband is what the script is all about.",5.5
2011,Veppam,Tamil,Anjana Ali Khan,"Karthik Kumar, Nani, Nithya Menen, Bindu Madhavi",drama,"The film starts by showing a girl named Revathy (Nithya Menen) forwarding towards the beach and drowning herself in it.The film is then set 18 years back in a slum in Chennai. Balaji (Muthukumar)'s mother dies and his father Jyothi (Sheimour), a drunkard, leaves him on the streets. He works hard and ensures a decent living for his younger brother Karthik (Nani) with the help of Revathy's father. Karthik, who studies in an engineering college, spends all his time with his friend Vishnu (Karthik Kumar), who is also brought up in the locality. Revathy in the neighbourhood loves Karthik. Revathy, Karthik and Vishnu are close friends. Vishnu also owns a mechanic shop but is not generating enough income. Vishnu's guardian pesters Vishnu to sell it and to look for a decent job which generates enough income to ensure financial security for the foreseeable future but Vishnu refuses as the shop is the only surviving memory of his late father.
Jyothi takes to illegal ways and makes money working for a drug peddler Ammaji (Jennifer). Balaji does not want his brother Karthik to join with his father, Jyothi as he left them on streets in his young age. Jyothi supplies call girls to men in that locality. Knowing that Vishnu is in love with Viji (Bindu Madhavi), a call girl in the locality, and also needs money as his shop is not earning enough, Jothi decides to exploit him for his selfish gain of transaction of a drug. He gives him an assignment — to transport drugs to Pondicherry, promising to give him Viji if he completes the work. Vishnu takes the help of Karthik and leaves for Pondicherry. Viji hears that Jyothi is planning to sell the drug to Ammaji's official enemy. She tries to save Vishnu through Jothi's assistant. Meanwhile, Revathy's father survives a heart attack and are desperate to contact Karthik and Vishnu while in hospital. Balaji finds Karthik in Jyothi's car and searches him for a week. Meanwhile, Jyothi's assistant warns vishnu about Jyothi's plan. Balaji finds Karthik in a bakery after a week and hits him. Karthik in anger leaves his house to Visnu's house giving a phone to Revathy, leaves the drug in his cupboard. Vishnu searches the drug in his bag in his house fights with Karthik. Karthik gets hurt in his head from a chair and faints. Vishnu's guardian kills Vishnu as he wanted to sell the mechanic shop which Vishnu owned. Viji dies in depression of Vishnu's death. Police arrest Karthik thinking he would have killed Vishnu.
Karthik comes out through Jyothi's help. Balaji, Karthik and Jothi go to Ammaji where they find that Ammaji's official enemy have joint together. They try to kill Jothi but Balaji and Karthik save him and kill everybody there and Jyothi kills Ammaji.They go to Jothi's house and start drinking, and upon being asked by Jyothi about the drug, Karthik replies that Revathy had found the drug in Karthik's cupboard. She took the drug to Jyothi's house, where a man tried to rape, she escaped and dissolved the drug in beach. Later, Balaji gives Jyothi a glass of poisoned Beer for he left them alone in their young age and Karthik joins his brother and kills him for the reason for his friend, Visnu's death. People nearby them agree not to let anyone know that they murdered Jyothi. The film ends as both brothers walk out of the room together.",4.8
2011,Potta Potti,Tamil,Yuvaraj,"Sadagoppan Ramesh, Harini",sports comedy,"Two men, Kodaivannan and Kolaivannan, of a remote village decide to marry a rich girl. So village rivalries told to both kodaivannan and Kolaivannan, those who won a match, that person eligible to marry that girl. The ‘good’ hearted Kodaivannan’s team kidnaps the real cricketer, Sadagoppan Ramesh, while he was on his way to Thekkady. The Kolaivannan hires his coach from a greedy big shot from Chennai who eyes the big land of this village for his business.
Now, the teams have one more reason to fight against each other, the ‘bad’ Kolaivannan winning the wealth for his Chennai man, and the ‘good’ Kodaivannan winning the game to save their village. In the climax, the ‘good’ Kodaivannan wins the match and saves their village.
In between, the coach Sadagoppan Ramesh falls in love with that girl.",4.8
2011,Rowthiram,Tamil,Gokul,"Jiiva, Shriya Saran",action,"The film starts in the 1980s. A young Shiva (Jiiva) is trained in the ancient Indian martial art Kalarippayattu by his grandfather (Prakash Raj) to be bold and brave and fight against all odds, especially all that's evil. Shiva grows up with his grandfather's words as his Bhagavad Gita. However, Shiva's parents (Jayaprakash and Lakshmi) want him to lead a peaceful life. Shiva gets arrested by the police after fighting with another law student, Guna who is one of Gowri's gang. Enters Priya (Shriya), a law college student. She is the daughter of a police official (Babu Antony). She bails Shiva out and falls for him after seeing him fight for other people's good. Eventually Shiva too falls for her. Guna wants revenge as Shiva had humiliated him in front of everyone. He wants Shiva dead. Things take a turn when Shiva goes to the bus stop with his friend to pick up Ramanujam's (Sathyan (Tamil actor)) father. There, a couple of rowdies kidnap a young girl. Shiva could not stand this and fights with them. Gowri was one of the rowdies there and Shiva hits him. Gowri is infuriated and wants Shiva dead at any cost. Shiva's entire family stops talking to Shiva though he insisted that what he did was for the good. Shiva's sister gets married to Ramanujam eventually, and his brother (Srinath) marries his longtime love. These marriages happens without Shiva's knowledge and he becomes shocked and shattered. He packs up and leaves his house since he realises that his presence will only make things dangerous for his family. He takes his grandfather's photo along with him. Shiva and his sister Kavitha (Monica) the lawyer who helps Shiva to escape when he is caught by police.
The climax is when the father of Priya and the father of Shiva convince Shiva to force him out of helping others and ruining his life and concealing it with danger for him and Priya. Priya's father then receives a message that Gowri was arrested; however he escaped and the police shot him down, to that Priya's father responded that he will come and see him in the hospital. After hearing that Shiva sees a problem involving a girl and some rowdies and tells to stop the car, his father-in-law refuses so Shiva jumps out of the car to save the girl's life and then a few words are said in response to this and the film ends. This is a contrast of the official ending as this is more of a positive way rather than Priya dying.",5.6
2011,Mudhal Idam,Tamil,R. Kumaran,"Vidharth, Kavitha Nair, Kishore",romantic comedy,"Mahesh (Vidharth) is a thug in Thanjavur. His only ambition is emerge as the Number 1 rowdy with his name topping the list of wanted criminals in the local police station. He is called 'Yamakunji'(junior lord of dead) by his friends for he wants to send fear in the spine of his opponents. He indulges in all unlawful activities to achieve his mission. But for his mother (Kalairani), he is the best son on earth. She earns her livelihood running an idly shop. Mahesh meets Mythili (Kavitha Nair), a school student and daughter of a bus conductor (Ilavarasu). Though Mahesh is hated by all, Mythili falls for him. However, Mythili's father opposes their affair. Things take a turn when Karuppu Balu (Kishore), the number one rowdy in the area comes out of the jail. Mahesh incurs the wrath of aspiring MLA for no fault of his. Things take a turn, when Mythili elopes from her house and Mahesh is forced to kill Balu. The movie ends with a strong message.",6.1
2011,Puli Vesham,Tamil,P. Vasu,"R. K., Karthik, Sadha, Divya Padmini",drama,"Munian (R.K), the innocent turned underworld dada. The naïve youngster from a remote village becomes a dreaded dada who could fix anyone and anything for money. He spends the money to treat a girl who is in coma for six months. Who is that girl and why does he spend money for her?
The girl is the daughter of a rich man (Ilavarasu) in Muniyan’s native place. The rich man gives shelter to Muniyan at his earlier age after the death of his parents. Munian is given the responsibility of taking care of the girl. He takes the job very seriously and gets trained in martial arts just to protect the girl in any circumstance. A unique bond develops between the boy and girl. Though it is not love, everyone suspects it to be love and hence Munian is sent out of the village to save the girl. However, the girl doesn’t want to get parted with Munian. She secretly follows him and both of them get into an unexpected trouble in Chennai.
The turn of events put the girl in a hospital and makes Munian a gangster. Munian however, has some values and hence becomes an associate to an honest police officer (Karthik), who wants to eliminate the rowdies with the help of Munian. The officer sends a girl (Sadha) in the disguise of an orphan to Munian’s gang just to keep him under check.
Munian gets entangled with too many things before he could save his master’s daughter. There are many players operating at different levels including the cricket crazy Mansur Ali Khan (involved in supplying girls to the rich) and M.S. Bhaskar, a dreaded gangster. How he tackles everyone and achieves his goal forms the crux of the story.",5.8
2011,Yuvan Yuvathi,Tamil,G. N. R. Kumaravelan,"Bharath, Rima Kallingal",romance,"Kathirvel Murugan (Bharath) is a software engineer in Chennai. He shares his room with friend Sakkarai (Santhanam). Kathir hails from Usilampatti but wants to project him as city-bred and his ambition is to settle in USA. Kathir's father Sevaka Pandian (Sampath Raj) is against his son's attitude. An influential local chieftain, he is against inter-caste marriage and love. Kathir meets Nisha (Rima Kallingal), who too wants to go abroad. The latter loses her passport and Kathir helps her find it. Slowly Kathir falls for her. Meanwhile, Sevaka Pandian arranges for his son's wedding with a High Court judge's daughter, Thangameena (Anuja Iyer). In the meantime, Kathir and Nisha get their visa and get ready to leave together for USA.
The former thinks that he has escaped from his marriage and when he wants to propose to Nisha, he gets a rude shock. She informs him that she is going to USA for her marriage. In the meantime Kathir's father comes to know about their relationship and kidnaps her. Afterwards Kathir also comes to know about it and saves Nisha but Nisha's marriage gets stopped. Again after 10 months they both meet in the same country again Kathir's doesn't want to see her but his mind changes and tries to make Nisha love Kathir. At last they both fall in love with each other. Now, they return to their hometown for their marriage. Initially Kathir's father doesn't allow. Later Kathir convinces them and they both marry each other making it a very happy ending.",6.4
